Mois,Région,Production éolienne (GWh),Production solaire (GWh)
2015-01,Corse,3.452315,8.077107
2015-02,Corse,2.581572,7.693712
2015-03,Centre-Val de Loire,180.399883,16.568649
2015-03,Grand Est,468.725493,44.770637
2015-03,Corse,2.376238,10.651493
2015-04,Hauts-de-France,317.327022,15.73996
2015-04,Provence-Alpes-Côte d'Azur,8.686235,120.825249
2015-05,Auvergne-Rhône-Alpes,86.264374,91.690844
2015-06,Pays de la Loire,71.982544,58.620566
2015-06,Nouvelle-Aquitaine,46.122582,235.515682
2015-06,Auvergne-Rhône-Alpes,44.315513,101.200025
2015-07,Pays de la Loire,73.65866,53.609768
2015-07,Nouvelle-Aquitaine,53.833116,227.592937
2015-08,Île-de-France,3.327361,8.731258
2015-08,Bretagne,83.227635,20.073622
2015-08,Corse,1.07694,18.511256
2015-09,Centre-Val de Loire,164.901066,23.623034
2015-09,Normandie,80.640807,12.601046
2015-09,Grand Est,491.870826,45.886751
2015-09,Provence-Alpes-Côte d'Azur,10.08479,113.721635
2015-10,Pays de la Loire,88.187189,29.510228
2015-10,Nouvelle-Aquitaine,74.953825,141.372921
2015-11,Hauts-de-France,661.129726,3.755731
2015-11,Grand Est,651.451588,16.349189
2015-11,Corse,1.96431,7.798814
2015-12,Centre-Val de Loire,195.411056,8.747504
2015-12,Normandie,202.727608,3.397746
2015-12,Pays de la Loire,150.038094,13.375228
2016-01,Bourgogne-Franche-Comté,104.167958,6.30464
2016-01,Pays de la Loire,173.687664,13.069424
2016-01,Corse,4.149853,8.179735
2016-02,Normandie,159.978815,6.034908
2016-03,Centre-Val de Loire,228.334703,19.840553
2016-03,Bretagne,190.003759,16.420825
2016-03,Corse,1.872103,12.299278
2016-04,Provence-Alpes-Côte d'Azur,12.518407,126.435897
2016-05,Pays de la Loire,83.202676,49.077164
2016-05,Nouvelle-Aquitaine,67.840813,251.000407
2016-05,Auvergne-Rhône-Alpes,96.876824,90.503521
2016-05,Provence-Alpes-Côte d'Azur,13.211478,150.285053
2016-06,Hauts-de-France,253.331966,14.453517
2016-07,Normandie,54.255251,16.803848
2016-07,Occitanie,186.308481,230.999303
2016-08,Bretagne,88.880912,24.993717
2016-08,Corse,2.32284,16.909553
2016-09,Grand Est,196.245876,51.261252
2016-09,Nouvelle-Aquitaine,34.162496,225.942912
2016-09,Occitanie,174.325732,186.153578
2016-09,Provence-Alpes-Côte d'Azur,5.459418,129.621641
2016-10,Hauts-de-France,288.280353,14.240269
2016-10,Grand Est,357.426723,39.35114
2016-10,Provence-Alpes-Côte d'Azur,9.4367,102.872565
2016-10,Corse,2.641838,11.126504
2016-11,Grand Est,573.044657,16.528932
2016-12,Pays de la Loire,96.68041,15.57388
2016-12,Nouvelle-Aquitaine,77.654679,103.853085
2017-01,Grand Est,490.475824,16.143971
2017-01,Pays de la Loire,112.13242,18.35983
2017-01,Occitanie,305.37799,87.501482
2017-01,Provence-Alpes-Côte d'Azur,15.453356,64.197729
2017-02,Nouvelle-Aquitaine,136.278057,118.99532
2017-03,Bourgogne-Franche-Comté,118.382068,17.892703
2017-03,Normandie,150.970989,9.06728
2017-03,Corse,3.018403,15.16575
2017-04,Normandie,54.711244,15.871035
2017-04,Provence-Alpes-Côte d'Azur,13.61332,151.797612
2017-05,Grand Est,301.371512,67.330326
2017-05,Bretagne,108.877422,26.234011
2017-05,Auvergne-Rhône-Alpes,74.622862,105.86375
2017-06,Bourgogne-Franche-Comté,70.683326,32.734
2017-06,Grand Est,342.853772,73.059583
2017-06,Bretagne,86.152876,28.705462
2017-06,Nouvelle-Aquitaine,78.542817,295.348917
2017-07,Bourgogne-Franche-Comté,72.603387,28.824049
2017-07,Grand Est,370.590186,63.89815
2017-07,Bretagne,107.746065,25.386759
2017-08,Centre-Val de Loire,99.879346,31.230163
2017-08,Bourgogne-Franche-Comté,51.723121,27.986855
2017-08,Corse,1.006694,22.412846
2017-09,Normandie,94.433916,11.280773
2017-09,Pays de la Loire,93.340979,43.212498
2017-09,Auvergne-Rhône-Alpes,54.958068,78.66209
2017-10,Occitanie,273.322781,162.580543
2017-10,Provence-Alpes-Côte d'Azur,9.388579,132.248565
2017-11,Île-de-France,10.75893,2.648041
2017-12,Centre-Val de Loire,269.62556,5.785615
2017-12,Normandie,197.053665,2.846294
2017-12,Pays de la Loire,188.706995,12.958347
2017-12,Occitanie,354.989425,69.872736
2017-12,Auvergne-Rhône-Alpes,128.951731,21.13029
2018-01,Centre-Val de Loire,306.957392,5.366674
2018-01,Auvergne-Rhône-Alpes,139.778641,21.961504
2018-02,Bourgogne-Franche-Comté,113.829832,11.542768
2018-02,Provence-Alpes-Côte d'Azur,12.334559,89.058954
2018-03,Hauts-de-France,762.71588,7.907273
2018-03,Occitanie,346.059174,172.399426
2018-03,Provence-Alpes-Côte d'Azur,12.406021,127.494255
2018-04,Occitanie,264.379844,214.426968
2018-05,Bourgogne-Franche-Comté,68.518668,32.772651
2018-05,Pays de la Loire,86.768714,71.688427
2018-05,Nouvelle-Aquitaine,86.421372,331.967459
2018-06,Île-de-France,5.720216,10.891246
2018-06,Grand Est,256.349042,111.334777
2018-07,Hauts-de-France,265.964635,20.264905
2018-08,Nouvelle-Aquitaine,85.181808,394.598047
2018-09,Hauts-de-France,417.478424,15.251827
2018-09,Auvergne-Rhône-Alpes,57.274809,120.791264
2018-09,Corse,0.628598,19.178958
2018-10,Île-de-France,10.290827,8.134093
2018-10,Centre-Val de Loire,181.118509,25.211399
2018-10,Bourgogne-Franche-Comté,115.00267,24.359894
2018-10,Hauts-de-France,600.301956,12.63315
2018-10,Grand Est,537.28023,87.178062
2018-11,Centre-Val de Loire,189.705599,12.993101
2018-11,Hauts-de-France,761.252498,7.408405
2018-11,Occitanie,294.369128,98.766758
2018-11,Auvergne-Rhône-Alpes,98.077311,46.883852
2018-12,Pays de la Loire,217.957974,7.71229
2019-01,Centre-Val de Loire,226.976113,9.199509
2019-01,Bourgogne-Franche-Comté,123.414207,9.242077
2019-01,Pays de la Loire,146.772158,18.857592
2019-02,Centre-Val de Loire,184.965858,21.761039
2019-02,Normandie,151.720296,10.435082
2019-02,Hauts-de-France,735.370382,9.822364
2019-02,Auvergne-Rhône-Alpes,89.561496,78.453142
2019-02,Corse,0.82117,15.637565
2019-03,Grand Est,1090.308411,85.832104
2019-03,Nouvelle-Aquitaine,251.080089,310.757136
2019-03,Provence-Alpes-Côte d'Azur,10.35909,189.77582
2019-04,Île-de-France,9.741244,9.426352
2019-04,Bourgogne-Franche-Comté,115.465607,34.648639
2019-04,Pays de la Loire,138.517479,59.313778
2019-05,Centre-Val de Loire,162.189462,39.887994
2019-06,Bourgogne-Franche-Comté,99.129801,44.702534
2019-06,Normandie,95.988318,22.158061
2019-06,Pays de la Loire,106.651449,77.779056
2019-07,Bourgogne-Franche-Comté,93.44678,49.980787
2019-07,Grand Est,355.14854,121.103855
2019-07,Provence-Alpes-Côte d'Azur,4.967942,227.311657
2019-09,Hauts-de-France,706.328929,16.349941
2019-09,Grand Est,581.554285,101.77296
2019-09,Nouvelle-Aquitaine,138.204349,334.934476
2019-10,Île-de-France,23.063108,7.373791
2019-10,Hauts-de-France,920.200573,10.479831
2019-11,Nouvelle-Aquitaine,199.819529,106.150944
2019-11,Provence-Alpes-Côte d'Azur,7.15866,73.535779
2019-12,Nouvelle-Aquitaine,261.399766,101.194236
2019-12,Provence-Alpes-Côte d'Azur,9.233348,78.779166
2020-05,Île-de-France,17.403797,16.464167
2020-01,Bretagne,252.917734,6.823425
2020-03,Pays de la Loire,265.899566,53.604446
2020-05,Pays de la Loire,177.023452,90.008578
2020-07,Pays de la Loire,117.632188,91.169645
2020-07,Provence-Alpes-Côte d'Azur,7.071759,253.259471
2020-08,Provence-Alpes-Côte d'Azur,6.017045,236.035086
2020-10,Provence-Alpes-Côte d'Azur,10.395619,143.335194
2020-12,Provence-Alpes-Côte d'Azur,11.248986,63.893889
2020-09,Corse,0.708949,20.483625
2020-02,Centre-Val de Loire,476.853708,20.325637
2020-10,Centre-Val de Loire,328.890192,21.954347
2020-11,Centre-Val de Loire,216.315641,21.527111
2020-12,Centre-Val de Loire,356.348075,9.6799
2020-02,Nouvelle-Aquitaine,309.931066,193.871553
2020-03,Nouvelle-Aquitaine,238.806636,271.769131
2020-06,Nouvelle-Aquitaine,128.999694,414.141631
2020-01,Auvergne-Rhône-Alpes,121.308599,41.932954
2020-03,Occitanie,365.845558,220.972273
2020-04,Occitanie,239.274204,257.263164
2020-08,Occitanie,244.67537,321.493061
2020-05,Grand Est,531.227199,87.651798
2020-06,Grand Est,426.028248,77.84724
2020-07,Grand Est,421.013413,88.793037
2020-05,Bourgogne-Franche-Comté,140.966406,47.802577
2020-10,Bourgogne-Franche-Comté,218.950434,19.549545
2020-11,Bourgogne-Franche-Comté,149.120706,20.244923
2020-12,Bourgogne-Franche-Comté,221.038732,9.365328
2014-01,Nouvelle-Aquitaine,98.886487,30.888721
2014-01,Auvergne-Rhône-Alpes,75.012542,18.500091
2014-02,Centre-Val de Loire,272.083615,9.694815
2014-02,Bretagne,218.675594,8.24817
2014-02,Occitanie,198.132047,61.987479
2014-03,Hauts-de-France,259.03039,11.888559
2014-03,Grand Est,267.089705,47.284567
2014-03,Nouvelle-Aquitaine,57.464869,93.224384
2014-04,Centre-Val de Loire,90.848444,20.468846
2014-04,Bourgogne-Franche-Comté,19.241434,20.577756
2014-04,Pays de la Loire,78.075726,36.948829
2014-04,Bretagne,103.039593,17.762345
2014-04,Auvergne-Rhône-Alpes,57.750445,65.104183
2014-05,Centre-Val de Loire,148.466344,22.891108
2014-05,Hauts-de-France,289.099301,14.843664
2014-05,Bretagne,103.995814,21.380751
2014-05,Corse,3.546046,13.101403
2014-06,Bourgogne-Franche-Comté,25.792798,27.065712
